Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
longgar,lunggar,luGgar,Adjective,na lunggar ma boli bajumu! beli bajumu yang longgar saja!
lekang,lungkang,luGkaG,Adjective,ura panganon buahni rambutan ai halani lungkang do mudah dimakan buah rambutan karena lekang
mengaku salah sendiri,lungkar,luGkar,Verb,ija lungkar hubani kawanni ia mengaku salah sendiri kepada kawannya
dipikul; memikul,lunja,lunja,Verb,bapa man lunja omei ibagas goni ayah memikul padi yang dibungkus di dalam goni
percik,lunsat,lunsat,Verb,terpercik
dipijat; diurut bagian	tubuh	untuk melemaskan otot sehingga peredaran darah lancar,luntei,luntey,Verb,luntei lobei gurung ni inang diurut dulu pinggang ibu
luntur,luntur,luntur,Adjective,baru sahali sabun demma luntur baru sekali dicuci sudah luntur
lupa,lupa,lupa,Adjective,gati do hita lupa sai seng ihorjahon kita sering lupa sehingga tidak jadi dikerjakan
celipar  (tempat gambir),lupak,lupa?,Noun,domma magou lupak ni ompung nantuari sudah hilang celipar nenek kemarin; salupak num sepetak; setapak
bagai buluh,lupung,lupuG,Adjective,"hujai pe sai lupung tong huja pelang tombus kemana saja  pun tertutup, tidak ada jalan keluar"
longgar,lurlar,lurlar,Adjective,
terperosok,lusut,lusut,Verb,tarsonggot ia bani lubang ai halani lusut ia terkejut karena terperosok di lubang itu
dicambuk; dihantam lutik [luti?] adv berkurang sedikit,lutar,lutar,Verb,"ai ma, anggo i buat otik"
tuak yang tanak,lutok,luto?,Noun,anglongkon malah lutok in! buang saja air tuak yang tanak itu!
gempar,lutu,lutu,Adjective,
kerumun,lutung,lutuG,Verb,ber- himpun banyak-banyak; ber- kerubung;
bentuk terikat lah,ma,ma,Adverb,yang digunakan untuk mene- kankan makna kata yang di depannya
huruf kesebelas dalam aksara Simalungun (dari surat sapuluh siah),ma,ma,Noun,
sejenis kayu,mabar,mabar,Noun,tagil lobei mabar ai tokkin nari! potong dulu kayu itu sebentar lagi!
matang; masak,mabei,mabEy,Adjective,hape mabei ambotik tu pepaya kita belum matang
Sr takut (pada benturan,mabiyar,mabiyar,Adjective,pada suasana)
mabuk,mabuk,mabu?,Adjective,"ulang bahat tu i minum ho bogot holi mabuk! jangan terlalu banyak minum tuak itu, nanti mabuk!"
sudah tersiram,mabur,mabur,Verb,
Sp jatuh,madabuh,madabu,Verb,
tebal muka,madal,madal,Adjective,"seng tarhata na, madal do ai ia tidak terlarang, memang ia tebal muka"
menghisap candu,madat,madat,Verb,ulang isuha ho madat holi somal! jangan kamu coba untuk menghisap candu nanti terbiasa!
main,maen,maEn,Verb,hanami maen bola nantuari kami bermain bola kemarin
jijik,magigi,magigi,Adjective,magigi au
sakit,magin,magin,Adjective,tiap borngin magin do ulukku tiap malam sakit kepalaku
nanti,magira,magira,Adverb,
hilang,magou,magow,Verb,magouan n yang kehilangan; usaha penghilangan;
sesuatu yang ditumbuk sudah dapat ditampi,mahar,mahar,Noun,anggo dompa mahar  ongkal ma ase hupiari kalau sudah lumat tuanglah agar kutampi
tak enak makan; tak enak rasa lidah,maharsa,maharsa,Adjective,maharsa sipanganon ai tak enak rasa lidah makan itu
malu,maila,maila,Adjective,ulang mambehan maila ho i jon jangan kamu membuat malu di sini;
mahal,mahol,mahOl,Adjective,huahap mahol do ituhor ho bajumu ai kukira mahal kau beli bajumu itu
kenapa; bagaimana keadaan,mahua,mahuwa,Pronoun,mahua uluni na hona gijig ai? bagaimana keadaan kepalanya yang kena lempar?
tumpul  papak pada ujungnya (tidak runcing),majal,majal,Adjective,tebal pada bagian yang tajam (tidak tajam);  bodoh
tumpul; majal,majol,majOl,Adjective,majol pisor min do i boan ho tumpul sekali pisau yang kamu bawa
v maju,maju,maju,,berjalan (bergerak) ke muka;
jorok,makus,makus,Adjective,bajuni makus tumang bajunya jorok sekali
agak demam,malab,malab,Adverb,akkulakku malab hona udan badan saya agak demam kena hujan
lahap,malaga,malaga,Adjective,
segan,malang,malaG,Adjective,malang au manonggah guru saya segan melihat guru
menoreh,malapah,malapah,Verb,membelah
hangat,malas,malas,Adjective,agak panas; tidak dingin;
terkupak,malbang,malbaG,Verb,naheiku malbang hona batu kakiku terkupak kena batu
lembab; tidak kering benar; agak basah,malbas,malbas,Adjective,saluarhu malbas hona udan celana saya agak basah terkena hujan
takut,mabiar,mabiyar,Adjective,
ditaburi abu,malbu,malbu,Verb,sabah ai malbu bahen bahat haltah sawah itu ditaburi abu karena ada hama padi
alim,malim,malim,Adjective,1 ulama;
Sp amil,malim,malim,Noun,
kuat suaranya,maling,maliG,Adjective,kapal ai maling sorani kapal  itu kuat suaranya
buang; mallokkon v buangkan,mallok,mal:ok,Verb,toppah ai	mallokkon!	buangkan sampah itu!
sejenis rotan,malnou,malnOw,Noun,godeng tumang malnou ai panjang sekali rotan itu
boleh; diizinkan; tidak dilarang,malo,malO,Adverb,anggo malo mulak au sonari kalau boleh aku pulang sekarang
,malpas,malpas,,au malpas halani lahean saya lemas karena lapar
terayun-ayun benda besar,maltang,maltaG,Verb,maltang bungkusan ni iboan terayun- ayun bungkusan dibawanya
lepas,maluah,maluwah,Verb,horbu i ai maluah humbani talini kerbau itu lepas dari talinya
sembuh,malum,malum,Verb,podas malum cepat sembuh; namalum v pulih dari sakit; napamalumhonn penyembuh; pamalumkon n menyembuh- kan
penurunan suhu panas menjadi dingin (tentang air panas),malum,malum,Verb,
makan nasi (kata untuk anak-anak),mamah,mamah,Verb,mamah lobei ho makanlah dulu engkau
dibuang- buangkan; terbuang,mambur,mambur,Verb,karcis ai bahat mambur halani langbois karcis itu banyak terbuang karena tidak habis
berserak,mampar,mampar,Verb,mampar ganup ginompani ber- serak bersama keturunannya
semacam kayu,mampat,mampat,Noun,
sejenis kayu berdaun lebar getah akarnya merah,mampu,mampu,Noun,
habis saat pohon enau disadap,mampul,mampul,Adverb,
punah; habis,mamunah,mamunah,Verb,mamunah jagul ai i bahen dayok habis jagung itu di makan ayam
telapak tangan atau telapak kaki yang tebal mandihar[mandihar] n Sr pencak,mandal,mandal,Noun,
 hanya,mando,mandO,Adverb,on mando bagianhu hanya ini saja kepunyaan saya;  terus menerus: ho mando tong dapotan selalu kamu yang mendapatkan
mandor,mandur,mandur,Noun,pengawas
 makan,mangan,maGan,Verb,ahu mangan tolu hali sadari saya makan   tiga   kali   sehari;	 mangankon v memakan: rosuh inang	mangankon	dayok nipanggang ibu suka memakan ayam panggang; marsipanganan	v	saling memakan;
mangga manggis [maGgis] n manggis manggoluh [maGgoluh] a hidup manggou [maGgOw] v hilang (yang,mangga,maGga,Noun,
lemak kemiri,mangida,maGida,Noun,santanni gambiri ai mangida tumang santan kemiri itu lemak sekali
tanggung,mangkar,maGkar,Adverb,parrohni udan ai mangkar tumang hujan itu tanggung sekali turunnya
tempat minuman dari porselen,mangkuk,maGkuk,Noun,
harus  patut,maningon,maniGOn,Adverb,mesti (tidak boleh tidak)
seterusnya,manipat,manipat,Adverb,memang manipat samai paruhumi memang seterusnya begitu pikirannya
manis,manis,manis,Adjective,bahni halambir ai manis tumang air kelapa itu manis sekali; manisan n manisan; halua
manusia,manisia,manisiya,Noun,lang dong manisia i jai tidak ada manusia di sana
berteduh,manisio,manisiyo,Verb,au tarpaksa manisio i toruhni sapo ai nami roh udan saya terpaksa berteduh di bawah gubuk itu karena datang hujan
manja,manja,manja,Adjective,
,manogkok,manogkok,Verb,
kenang- kenangan,manoh,manoh,Noun,manoh han bani ompung kenang-kenangan dari nenek
tercabut gagang (misalnya gagang parang),mansil,mansil,Verb,
lezat; sedap,mantin,mantin,Adjective,buahni durian mantin daini buah durian enak rasanya
ayam,manuk,manuk,Noun,bahat tumang manuk i juma banyak sekali ayam di ladang
terambai-ambai,maol,maOl,Verb,maol haini ibaen ikan  harambai ambai pancingnya terambai-ambai oleh ikan
tak tentu per- jalanannya,maor,maOr,Verb,maor dotong horjani kesana kemari saja kerjanya
aus; usang,maos,maOs,Adjective,bajuku domma maos pakaian saya sudah usang
rata,mapan,mapan,Adjective,dalani ai mapan tumang jalan itu rata sekali
bulir padi yang hampa,mapap,mapap,Noun,kosong
 angkuh,mapas,mapas,Adjective,sombong;
keras,mapir,mapir,Adjective,batu krikil ai mapir salian batu kerikil keras sekali
jamin; menjamin,mapit,mapit,Verb,mapit do ai bai padanni dia menjamin dengan janjinya
lebat,mapor,mapOr,Adjective,udan ai mapor nokkan tadi hujan lebat
ber; prefiks pembentuk verba  mem- punyai;  menggunakan;  menghasilkan;  dalam jumlah atau kelipatan;  mengaku dan memanggil sebagai,mar,mar,Adverb,maramang berayah; marinang beribu; 6 kira-kira atau lebih kurang: marlimapuluh halak kira-kira lima puluh orang
marah,marah,marah,Adjective,ulang sompat marah au jangan sempat aku marah
marak (untuk api); nyala,marak,marak,Adjective,hayu ai marak halani karak kayu itu marak sekali karena kering
berkelahi,marbada,marbada,Verb,
menanam padi (di ladang),mardang,mardaG,Verb,etah mardang hu jumaku! ayo menanam padi di ladang saya
Sr berburu mardum [mardum] v makan beras,mardapot,mardapOt,Verb,ulang mardum! jangan makan
meronta- ronta karena sesuatu,maregas,marEgas,Verb,maregas ia halani seng nabere duit meronta-ronta ia karena tidak diberi uang
Antr kelompok kekerabatan yang eksogam dan unilinier secara patrilineal,marga,marga,Noun,au marga Saragih saya marga Saragih
main-main,marguro,margurO,Verb,bermain-main
kerja bakti,marharoan,marharOwan,Noun,
kata yang biasa dipakai dalam mantera,mari,mari,Verb,mari tondi! mari semangat!
meriah; ramai yang bersifat suka ria maridi   [maridi]   v   mandi,mariah,mariyah,Adjective,sodar
" ber- belang,	berbintik-bintik",marindik,marindik,Verb,tangkop lobei dayok na marindik ai! tangkap  dulu ayam berbintik-bintik itu!;
Sr harum,marium,mariyum,Adjective,
tanggung- tanggung (warna yang tang- gung),marlang,marlaG,Verb,"marlang  rupana, hurang gerger naminei tang- gung warnanya kurang merah dibuatnya"
Sr mengasuh,marorot,marOrOt,Verb,
tajam,marot,marOt,Adjective,1 bermata tipis;  berujung lancip;
mempunyai rumah,marruma,mar:uma,Verb,manuk-manuk ai marruma dear i atas hayu burung-burung itu mempunyai rumah di atas kayu
Sp,marsahap,marsahap,Verb,
sengsara,marsik,marsik,Noun,
demam; deman karena malaria,marun,marun,Noun,si Ali marun si Ali demam
demam,marunan,marunan,Verb,badanhu marunan halani hona udan badanku demam karena kena hujan
kejadian,masa,masa,Noun,aha na masa i Saribudolok? apa yang terjadi si Seribudolok?
hilang,masab,masab,Verb,domma masab golar hu na dear sadakah ni an halani parlaho na buruk sudah hilang namaku yang bagus selama ini karena perbuatanku yang buruk
kelambu,masabun,masabun,Noun,
"masak, matang",masak,masak,Adjective,domma masak pisang ai i  bagas hobon sudah masak pisang itu di dalam lumbung
sering,masakah,masakah,Adverb,bapa masakah tumang buritan bapak sering sakit
mengapa; kata tanya untuk menanyakan sebab atau perbuatan,mase,masE,Pronoun,"aha do salahku bamu, boru Payung? mase ham mananingkon au? apakah salahku wahai boru Payung, mengapa kamu meninggalkan aku?"
"busuk  rusak dan berbau tidak sedap (tentang buah, daging, dan sebagainya)",masik,masik,Adjective,masik use pisang onde halani dokah to iporam pisang itu menjadi busuk karena lama sekali diperam;
"masjid, rumah atau bangunan tempat ibadah agama Islam",masjid,masjid,Noun,
masuk,masuk,masuk,Verb,au sadarion lang masuk kuliah halani roh udan aku hari ini tidak masuk kuliah hari ini karena hujan;
"mentah  belum masak; belum waktunya untuk dipetik, diambil hasilnya dan sebagainya (seperti buah- buahan)",matah,matah,Adjective,matah lalap mangga ai agape domma dongkah i param; mangga itu mentah
mati,matei,matey,Adjective,
teguh; kuat,matih,matih,Adjective,matih bahen sikorup ni ma! buat yang kuat sekrupnya ya!
manis,matobu,matobu,Adjective,rasa seperti rasa gula
dewasa,matoras,matoras,Adjective,
pengurus,maujana,maujana,Noun,pemegang jabatan; 1 orang- orang) yang mengurus;
tidak menentu tempat tinggalnya; tidak ada yang	memperdulikannya,mawang,mawaG,Verb,mawang do hugehkon au i jon aku di sini tidak diperdulikan orang
"mawas, sejenis kera",mawas,mawas,Noun,dongdo mawas i kebun
jalan-jalan; berjalan-jalan (untuk yang menjaga),mawat,mawat,Verb,hansip ai mawat tiap jam hansip itu berjalan-jalan setiap jam
tangan pohon margat,mayang,mayaG,Noun,garsing rupani mayang bagat ai warna tangan pohon margat itu kuning
a segan,mayang,mayaG,,anggo mangidah dosen mayang do hansa au aku segan sekali kalau melihat dosen;
terbang,mayap,mayap,Verb,tuktukku mayap i ombus logou topiku terbang di hembus angin
bangkai,mayat,mayat,Noun,domma mayup mayat hambing ai bangkai kambing itu sudah hanyut
basi; mulai busuk,mayom,mayom,Adjective,indahan on domma mayom nasi ini sudah basi; domma mayom ihan on ikan itu sudah mulai busuk
sakit,mayong,mayoG,Adjective,Badu mayong torus-torusan Badu sakit terus-menerus
hanyut,mayup,mayup,Verb,domma mayub bajukku baju saya sudah hanyut
senang hati; betah; kerasan,medan,mEdan,Adjective,medan uhur hu ihutaon halani riahni senang hatiku di kampung ini karena ramainya
ibukota provinsi Sumatera Utara,medan,mEdan,Noun,
tidak tepat; tidak menentu,medar,mEdar,Adjective,medar do harsa pangulahmu tidak menentu ulahmu
kantuk,medep,mEdEp,Noun,rasa hendak tidur; mangedep v mengantuk;
gembira,megah,mEgah,Adjective,suka; bahagia; bangga; senang; hamegahon n kegembiraan; ipamegah n digembirakan; mamegahkon	v	menjadi gembira;
gelak tawa; terkekeh-kekeh,mehel,mEhEl,Verb,nase handian mehel? mengapa kamu semua tertawa terkekeh-kekeh?
meja,meja,mEja,Noun,opat nahei ni meja ai kaki meja itu empat
malu,mela,mEla,Adjective,ulang mela ho kamu jangan malu; mamelahon	v	menjadikan (memberi) malu;
manis,melab,mElab,Adjective,melab dai ni bahni bagod air nira rasanya manis
silau,melap,mElap,Adjective,mataniari ari melap tumang matahari itu menyilaukan sekali
kental,melhat,mElhat,Adjective,antara cair dan keras; pekat; mamelhat v mengental; mamelhatkon v mengentalkan; melhatan a lebih kental; tarmelhat a agak kental
belinjo,melinjo,mElinjo,Noun,
"tidak bergerak, berubah arah",membar,mEmbar,Verb,
semangka,mendihei,mEndihEy,Noun,mangan mendihei makan semangka
resah; gelisah dan tidak tenang; gugup; rusuh hati,mengas,mEGas,Adjective,mengas ia paimahon hasomanni ia resah menunggu temannya;
sejenis kayu,meranti,mEranti,Noun,hayu meranti ai baggal tumang kayu meranti itu besar sekali
pening,merdeng,mErdEG,Adjective,ulukku merdeng halani hona udan kepala saya  pening karena kena hujan
ranum,mermer,mErmEr,Adjective,buah lokang ai mermer tumang buah lokang itu ranum sekali
kurus,merung,mEruG,Adjective,dakdanak na merung ai domma misir hu juma anak yang kurus itu sudah berangkat ke sekolah; mamerung v mengurus; menjadi kurus;
terkumpul,miduk,miduk,Verb,bukuhu miduk tumang i atas meja hang ongga hubaca bukuku terkumpul saja di atas meja tidak pernah kubaca
a panas,milas,milas,,mesin kareta ai milas tumang halani dommah dokkah mardalan mesin kereta itu panas sekali karena sudah lama berjalan;  sakit hati; genting sekali; berbahaya;
miring,miling,miliG,Adjective,"ulang miling bahen galas ai kali madurus! jangan miring di- letakkan gelas itu, nanti tumpah!"
padam; mati (tentang api); tidak menyala atau tidak berkobar lagi,miloh,miloh,Verb,domma miloh use lampu ai halani domma bois minak ni lampu itu tadi telah padam karena sudah habis minyaknya;
minum (digunakan pada anak-anak),mimik,mimi?,Verb,
mimis,mimis,mimis,Noun,"domma bois mimis lereng ai patut ma ban ni lenggang sudah habis mimis sepeda itu, pantaslah bannya lenggang"
minyak,minak,mina?,Noun,domma miloh use lampu ai halani domma bois minak ni telah mati tadi lampu itu karena sudah habis minyaknya; maminaki	v	meminyaki: maminaki lampu meminyaki lampu;
murah,minar,minar,Adjective,nahnar ai minar tumang rara itu murah sekali
berkurang sakitnya,mindoh,mindoh,Adverb,mindoh pangahapmu dongkansi mangan tambar kurasa berkurang sakitnya setelah makan obat
maunya; hendaknya,minei,minEy,Adverb,ulang minei roh udan in hendaknya jangan datang hujan ini
nyaris,minggip,miGgip,Adverb,ia minggip i langgar motor dia nyaris dilanggar motor
manja,minggol,miGgol,Adjective,adekhu minggol tumang adikku manja sekali
para-para,minggor,miGgor,Noun,
hari minggu,minggu,miGgu,Noun,marminggu	v	berminggu; pergi ke gereja di hari Minggu untuk  beribadah; parmingguan v rumah gereja; bangunan gereja
umat,minik,minik,Noun,"Tuhan pasu-pasu hamma si minik mon! Tuhan, berkatilah umat- Mu ini!"
pindah,minsah,minsah,Verb,hanami minsah hu Medan kami pindah ke Medan
pindah,minsal,minsal,Verb,sidea minsal halani boritan mereka pindah karena sakit
runcing,minsur,minsur,Adjective,minsur pensel ni pinsil dia runcing
padam,mintop,mintop,Verb,mintop apui ai halani isi ram bani bah padam api itu karena disiram dengan air
terus,mintor,mintor,Verb,"kaluar sikolah ia mintor hu juma pulang sekolah, dia terus ke ladang"
minum,minum,minum,Verb,minum teh in! minum teh ini!;
ayam merah,mirah,mirah,Noun,ia marosuh mangan dayok mirah dia suka makan ayam merah
pening; pusing,mirdong,mirdoG,Verb,mirdong  huahap pening kurasa
sejenis ikan,mirik,mirik,Noun,ikan mas mirik na enak ikan mas sejenis ikan yang enak
bercahaya,mirlak,mirlak,Verb,lampu mirlak torang tumang lampu bercahaya terang sekali
panas,misam,misam,Adjective,tongah on songon na misam pangahap kurasa agak panaslah tengah hari
kumis,mise,misE,Noun,ia mansukur mise i muka rumah dia men- cukur kumis di depan rumah
pergi; berangkat,misir,misir,Verb,amang misir hu Siantar nasogod ayah pergi ke Siantar besok pagi;
tercampak,mistak,mistak,Verb,mistak ia hun atas karetani ia tercampak dari atas keretanya; mangkamistak v bercampakan
gelisah,mitiltil,mitiltil,Adjective,ia songon mitiltil paima hon tulanganni roh ia agak gelisah menunggu pacarnya datang
bergerak (bergeser dari tempat duduk),miut,miyut,Verb,rayok tumang ahu miut ai aku malas sekali bergerak
mual,moak,mOwak,Verb,halani minggot ia moak ia mual  karena pening
jenis kayu yang berbuah,mobi,mObi,Noun,
tikus,monci,mossi,Noun,
tegang,mocor,mOcOr,Adjective,hayu ai mocor agape i ombus togou kayu itu tegang biarpun di- goyang angin
sengsara,modar,mOdar,Adjective,
lemah,modei,mOdEy,Adjective,ia tarmasuk jolmana modei dia termasuk manusia yang lemah
tidur; makkamodom v bertiduran; marsimodoman v bertiduran; papodomhon v menidurkan; parmodom	n		penidur; tukang tidur;  cara tidur,modom,mOdOm,Verb,naha modom mi? bagaimana cara tidurmu?;
berputar,modong,mOdOG,Verb,banni motor pasti modong ban motor pasti berputar
luntur,modung,mOduG,Verb,bajukku modung baju saya luntur
bertuah,mogah,mOgah,Adjective,ia tarmasuk jolma na mogah dia termasuk manusia yang bertuah
tenggelam,mogap,mOgap,Verb,kapal ai mogap i laut kapal itu tenggelam di laut
kena hukum,mogar,mOgar,Verb,ia mogar ibahen polisi dia kena hukum oleh polisi
tiarap,mogop,mOgOp,Verb,ia mogop halani roh kapal ni musuh dia tiarap karena kapal musuh datang
gesek,mogos,mOgOs,Verb,bergesek
tertawa,mohol,mOhOl,Verb,ia mohol halani negah dia tertawa karena gembira
kepanasan; kegerahan,mohop,mOhOp,Noun,ahu muhup halani ari milas tumang aku kegerahan karena hari ini sangat panas
mendangkalkan,mok,mOk,Verb,membuat jadi dangkal
kota Mekah,mokah,mOkah,Noun,
mujur; beruntung,mokor,mOkOr,Adjective,mokor ma ia tertolong beruntunglah dia tertolong
gugur,molei,mOlEy,Verb,molur molei hu tanoh bunga mawar gugur ke tanah
